"Knautia mollis","Knautia","","mollis",NA,NA,"","","kew-2334528",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","mollis","","","Jord.","kew-2334528","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia montana","Knautia","","montana",NA,NA,"","","kew-2334529",TRUE,"1.1","Unresolved","Caprifoliaceae","Knautia","","montana","","","DC.","kew-2334529","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knautia orientalis","Knautia","","orientalis",NA,NA,"","","kew-2335658",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","orientalis","","","L.","kew-2335658","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia pancicii","Knautia","","pancicii",NA,NA,"","","kew-2335653",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","pancicii","","","Szabó","kew-2335653","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia pectinata","Knautia","","pectinata",NA,NA,"","","kew-2335662",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","pectinata","","","Ehrend.","kew-2335662","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia purpurea","Knautia","","purpurea",NA,NA,"","","kew-2335708",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","purpurea","","","(Vill) Borbás","kew-2335708","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia slovaca","Knautia","","slovaca",NA,NA,"","","kew-2336380",TRUE,"1.1","Unresolved","Caprifoliaceae","Knautia","","slovaca","","","Štěpánek","kew-2336380","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knautia subcanescens","Knautia","","subcanescens",NA,NA,"","","kew-2336393",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","subcanescens","","","Jord.","kew-2336393","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia subscaposa","Knautia","","subscaposa",NA,NA,"","","kew-2336385",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","subscaposa","","","Boiss. & Reut.","kew-2336385","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia travnicensis","Knautia","","travnicensis",NA,NA,"","","kew-2898381",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","travnicensis","","","(Beck) Szabó","kew-2898381","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia velebitica","Knautia","","velebitica",NA,NA,"","","kew-2333547",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","velebitica","","","Szabó","kew-2333547","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia velutina","Knautia","","velutina",NA,NA,"","","kew-2898365",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","velutina","","","Briq.","kew-2898365","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia visiani","Knautia","","visiani",NA,NA,"","","kew-2333576",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","visianii","","","Szabó","kew-2333576","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Knema andamanica","Knema","","andamanica",NA,NA,"","","kew-2333647",TRUE,"1.1","Unresolved","Myristicaceae","Knema","","andamanica","","","(Warb.) W.J.de Wilde","kew-2333647","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knema cinerea","Knema","","cinerea",NA,NA,"","","tro-21800260",TRUE,"1.1","Accepted","Myristicaceae","Knema","","cinerea","","","Warb.","tro-21800260","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knema communis","Knema","","communis",NA,NA,"","","kew-2334925",TRUE,"1.1","Unresolved","Myristicaceae","Knema","","communis","","","J.Sinclair","kew-2334925","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knema elegans","Knema","","elegans",NA,NA,"","","tro-50333335",TRUE,"1.1","Accepted","Myristicaceae","Knema","","elegans","","","Warb.","tro-50333335","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knema furfuracea","Knema","","furfuracea",NA,NA,"","","tro-21800247",TRUE,"1.1","Accepted","Myristicaceae","Knema","","furfuracea","","","(Hook. f. & Thomson) Warb.","tro-21800247","Accepted",FALSE,FALSE,FALSE,2017-05-11
