"Phlomis russeliana","Phlomis","","russeliana",NA,NA,"","","kew-152407",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","russeliana","","","(Sims) Lag. ex Benth.","kew-152407","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis samia","Phlomis","","samia",NA,NA,"","","kew-152412",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","samia","","","L.","kew-152412","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis strigosa","Phlomis","","strigosa",NA,NA,"","","kew-152441",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","strigosa","","","(C.Y.Wu) Kamelin & Makhm.","kew-152615","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis tatsienensis","Phlomis","","tatsienensis",NA,NA,"","","kew-152447",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","tatsienensis","","","(Bureau & Franch.) Kamelin & Makhm.","kew-152620","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis tenorei","Phlomis","","tenorei",NA,NA,"","","kew-152452",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","tenorei","","","Soldano","kew-152452","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis umbrosa","Phlomis","","umbrosa",NA,NA,"","","kew-152470",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","umbrosa","","","(Turcz.) Kamelin & Makhm.","kew-152628","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis urodonta","Phlomis","","urodonta",NA,NA,"","","kew-152480",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","urodonta","","","(Popov) Adylov, Kamelin & Makhm.","kew-152631","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis viscosa","Phlomis","","viscosa",NA,NA,"","","kew-152486",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","viscosa","","","Poir.","kew-152486","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides adylovii","Phlomoides","","adylovii",NA,NA,"","","kew-337270",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","adylovii","","","Lazkov","kew-337270","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides ajdarovae","Phlomoides","","ajdarovae",NA,NA,"","","kew-152499",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","ajdarovae","","","Lazkov","kew-152499","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides betonicoides","Phlomoides","","betonicoides",NA,NA,"","","kew-152516",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","betonicoides","","","(Diels) Kamelin & Makhm.","kew-152516","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides hamosa","Phlomoides","","hamosa",NA,NA,"","","kew-467828",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","hamosa","","","(Benth.) Mathiesen","kew-467828","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides korovinii","Phlomoides","","korovinii",NA,NA,"","","kew-152560",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","korovinii","","","(Popov) Adylov, Kamelin & Makhm.","kew-152560","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides medicinalis","Phlomoides","","medicinalis",NA,NA,"","","kew-152576",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","medicinalis","","","(Diels) Kamelin & Makhm.","kew-152576","Accepted",FALSE,FALSE,FALSE,2017-05-11
