"Neojeffreya decurrens","Neojeffreya","","decurrens",NA,NA,"","","gcc-141862",TRUE,"1.1","Accepted","Compositae","Neojeffreya","","decurrens","","","(L.) Cabrera","gcc-141862","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neojobertia candolleana","Neojobertia","","candolleana",NA,NA,"","","kew-317703",TRUE,"1.1","Accepted","Bignoniaceae","Neojobertia","","candolleana","","","(Mart. ex DC.) Bureau & K.Schum.","kew-317703","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neojobertia mirabilis","Neojobertia","","mirabilis",NA,NA,"","","kew-320889",TRUE,"1.1","Accepted","Bignoniaceae","Neojobertia","","mirabilis","","","(Sandwith) L.G.Lohmann","kew-320889","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neokochia americana","Neokochia","","americana",NA,NA,"","","kew-2896845",TRUE,"1.1","Accepted","Amaranthaceae","Neokochia","","americana","","","(S.Watson) G.L.Chu & S.C.Sand.","kew-2896845","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neokochia californica","Neokochia","","californica",NA,NA,"","","kew-2896846",TRUE,"1.1","Accepted","Amaranthaceae","Neokochia","","californica","","","(S.Watson) G.L.Chu & S.C.Sand.","kew-2896846","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neolamarckia cadamba","Neolamarckia","","cadamba",NA,NA,"","","kew-133819",TRUE,"1.1","Accepted","Rubiaceae","Neolamarckia","","cadamba","","","(Roxb.) Bosser","kew-133819","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neolaugeria apiculata","Neolaugeria","","apiculata",NA,NA,"","","kew-133824",TRUE,"1.1","Synonym","Rubiaceae","Stenostomum","","apiculatum","","","Britton & Standl.","kew-197574","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neolaugeria densiflora","Neolaugeria","","densiflora",NA,NA,"","","kew-133825",TRUE,"1.1","Synonym","Rubiaceae","Stenostomum","","densiflorum","","","C.Wright ex Griseb.","kew-197584","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neolaugeria resinosa","Neolaugeria","","resinosa",NA,NA,"","","kew-133828",TRUE,"1.1","Synonym","Rubiaceae","Stenostomum","","resinosum","","","(Vahl) Griseb.","kew-197620","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neolemonniera clitandrifolia","Neolemonniera","","clitandrifolia",NA,NA,"","","kew-133849",TRUE,"1.1","Accepted","Sapotaceae","Neolemonniera","","clitandrifolia","","","(A.Chev.) Heine","kew-133849","Accepted",FALSE,FALSE,FALSE,2017-05-11
