"Zannichellia palustris","Zannichellia","","palustris",NA,NA,"","","kew-309015",TRUE,"1.1","Accepted","Potamogetonaceae","Zannichellia","","palustris","","","L.","kew-309015","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zannichellia pedunculata","Zannichellia","","pedunculata",NA,NA,"","","kew-309016",TRUE,"1.1","Synonym","Potamogetonaceae","Zannichellia","","palustris","subsp.","pedicellata","(Wahlenb. & Rosén) Hook.f.","kew-309816","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zannichellia peltata","Zannichellia","","peltata",NA,NA,"","","kew-309018",TRUE,"1.1","Accepted","Potamogetonaceae","Zannichellia","","peltata","","","Bertol.","kew-309018","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zantedeschia aethiopica","Zantedeschia","","aethiopica",NA,NA,"","","kew-215527",TRUE,"1.1","Accepted","Araceae","Zantedeschia","","aethiopica","","","(L.) Spreng.","kew-215527","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zantedeschia albomaculata","Zantedeschia","","albomaculata",NA,NA,"","","kew-215529",TRUE,"1.1","Accepted","Araceae","Zantedeschia","","albomaculata","","","(Hook.) Baill.","kew-215529","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zantedeschia elliottiana","Zantedeschia","","elliottiana",NA,NA,"","","kew-215539",TRUE,"1.1","Accepted","Araceae","Zantedeschia","","elliottiana","","","(W.Watson) Engl.","kew-215539","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zantedeschia hybrid","Zantedeschia","","hybrid",NA,NA,"","","",FALSE,"1.1","","","Zantedeschia","","hybrid",NA,"","","","",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum acanthopodium","Zanthoxylum","","acanthopodium",NA,NA,"","","tro-28100036",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","acanthopodium","","","DC.","tro-28100036","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum acuminatum","Zanthoxylum","","acuminatum",NA,NA,"","","kew-2470849",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","acuminatum","","","(Sw.) Sw.","kew-2470849","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum ailanthoides","Zanthoxylum","","ailanthoides",NA,NA,"","","tro-28101770",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","ailanthoides","","","Siebold & Zucc.","tro-28101770","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum americanum","Zanthoxylum","","americanum",NA,NA,"","","tro-28100527",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","americanum","","","Mill.","tro-28100527","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum armatum","Zanthoxylum","","armatum",NA,NA,"","","kew-2470751",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","armatum","","","DC.","kew-2470751","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum arnottianum","Zanthoxylum","","arnottianum",NA,NA,"","","kew-2470792",TRUE,"1.1","Unresolved","Rutaceae","Zanthoxylum","","arnottianum","","","Maxim.","kew-2470792","Unresolved",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum austrosinense","Zanthoxylum","","austrosinense",NA,NA,"","","tro-50054980",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","austrosinense","","","C.C. Huang","tro-50054980","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum avicennae","Zanthoxylum","","avicennae",NA,NA,"","","tro-50054976",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","avicennae","","","(Lam.) DC.","tro-50054976","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum beecheyanum","Zanthoxylum","","beecheyanum",NA,NA,"","","kew-2470772",TRUE,"1.1","Unresolved","Rutaceae","Zanthoxylum","","beecheyanum","","","K.Koch","kew-2470772","Unresolved",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum bifoliolatum","Zanthoxylum","","bifoliolatum",NA,NA,"","","kew-2470783",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","bifoliolatum","","","Leonard","kew-2470783","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum brachyacanthum","Zanthoxylum","","brachyacanthum",NA,NA,"","","kew-2469338",TRUE,"1.1","Unresolved","Rutaceae","Zanthoxylum","","brachyacanthum","","","F.Muell.","kew-2469338","Unresolved",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum bungeanum","Zanthoxylum","","bungeanum",NA,NA,"","","kew-2469335",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","bungeanum","","","Maxim.","kew-2469335","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum calcicola","Zanthoxylum","","calcicola",NA,NA,"","","tro-50054991",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","calcicola","","","C.C. Huang","tro-50054991","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum capense","Zanthoxylum","","capense",NA,NA,"","","tro-28100695",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","capense","","","(Thunb.) Harv.","tro-28100695","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum caribaeum","Zanthoxylum","","caribaeum",NA,NA,"","","kew-2469319",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","caribaeum","","","Lam.","kew-2469319","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum chalybeum","Zanthoxylum","","chalybeum",NA,NA,"","","tro-28101648",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","chalybeum","","","Engl.","tro-28101648","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum chevalieri","Zanthoxylum","","chevalieri",NA,NA,"","","kew-2469330",TRUE,"1.1","Unresolved","Rutaceae","Zanthoxylum","","chevalieri","","","P.G.Waterman","kew-2469330","Unresolved",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum clava","Zanthoxylum","","clava",NA,NA,"","","kew-2469314",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","flavum","","","Vahl","kew-2469314","Accepted",TRUE,FALSE,FALSE,2017-05-12
"Zanthoxylum coreanum","Zanthoxylum","","coreanum",NA,NA,"","","kew-2469385",TRUE,"1.1","Unresolved","Rutaceae","Zanthoxylum","","coreanum","","","Nakai","kew-2469385","Unresolved",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum coriaceum","Zanthoxylum","","coriaceum",NA,NA,"","","tro-28100531",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","coriaceum","","","A. Rich.","tro-28100531","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum culantrillo","Zanthoxylum","","culantrillo",NA,NA,"","","tro-28100280",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","culantrillo","","","Kunth","tro-28100280","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum davyi","Zanthoxylum","","davyi",NA,NA,"","","tro-28100700",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","davyi","","","Waterm.","tro-28100700","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum delagoense","Zanthoxylum","","delagoense",NA,NA,"","","kew-2469267",TRUE,"1.1","Unresolved","Rutaceae","Zanthoxylum","","delagoense","","","P.G.Waterman","kew-2469267","Unresolved",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum deremense","Zanthoxylum","","deremense",NA,NA,"","","tro-28101660",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","deremense","","","(Engl.) Kokwaro","tro-28101660","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum dipetalum","Zanthoxylum","","dipetalum",NA,NA,"","","tro-28100532",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","dipetalum","","","H. Mann","tro-28100532","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum dissitum","Zanthoxylum","","dissitum",NA,NA,"","","tro-50055029",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","dissitum","","","Hemsl.","tro-50055029","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum echinocarpum","Zanthoxylum","","echinocarpum",NA,NA,"","","tro-50054440",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","echinocarpum","","","Hemsl.","tro-50054440","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum ekmanii","Zanthoxylum","","ekmanii",NA,NA,"","","kew-2469259",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","ekmanii","","","(Urb.) Alain","kew-2469259","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum esquirolii","Zanthoxylum","","esquirolii",NA,NA,"","","tro-28101819",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","esquirolii","","","H. Lév.","tro-28101819","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum fagara","Zanthoxylum","","fagara",NA,NA,"","","kew-2469306",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","fagara","","","(L.) Sarg.","kew-2469306","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum flavum","Zanthoxylum","","flavum",NA,NA,"","","kew-2469314",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","flavum","","","Vahl","kew-2469314","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum gilletii","Zanthoxylum","","gilletii",NA,NA,"","","kew-2469299",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","gilletii","","","(De Wild.) P.G.Waterman","kew-2469299","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum hawaiiense","Zanthoxylum","","hawaiiense",NA,NA,"","","tro-28100540",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","hawaiiense","","","Hillebr.","tro-28100540","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum heterophyllum","Zanthoxylum","","heterophyllum",NA,NA,"","","kew-2469460",TRUE,"1.1","Unresolved","Rutaceae","Zanthoxylum","","heterophyllum","","","Sm.","kew-2469460","Unresolved",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum holtzianum","Zanthoxylum","","holtzianum",NA,NA,"","","tro-28101547",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","holtzianum","","","(Engl.) P.G. Waterman","tro-28101547","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum humile","Zanthoxylum","","humile",NA,NA,"","","tro-28100703",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","humile","","","Waterm.","tro-28100703","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum juniperinum","Zanthoxylum","","juniperinum",NA,NA,"","","kew-2469497",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","juniperinum","","","Poepp.","kew-2469497","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum kauaense","Zanthoxylum","","kauaense",NA,NA,"","","tro-28100547",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","kauaense","","","A. Gray","tro-28100547","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanthoxylum laetum","Zanthoxylum","","laetum",NA,NA,"","","tro-50118424",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","laetum","","","Drake","tro-50118424","Accepted",FALSE,FALSE,FALSE,2017-05-12
