"Pomaderris obcordata","Pomaderris","","obcordata",NA,NA,"","","kew-2544878",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","obcordata","","","Fenzl","kew-2544878","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris oraria","Pomaderris","","oraria",NA,NA,"","","kew-2544874",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","ovaria","","","F.Muell. ex Reissek","kew-2544874","Unresolved",TRUE,FALSE,FALSE,2017-05-11
"Pomaderris phylicifolia","Pomaderris","","phylicifolia",NA,NA,"","","kew-2544097",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","phylicifolia","","","Link","kew-2544097","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris prunifolia","Pomaderris","","prunifolia",NA,NA,"","","kew-2544808",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","prunifolia","","","A.Cunn. ex Fenzl","kew-2544808","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris rotundifolia","Pomaderris","","rotundifolia",NA,NA,"","","kew-2544814",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","rotundifolia","","","(F.Muell.) Rye","kew-2544814","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris rugosa","Pomaderris","","rugosa",NA,NA,"","","kew-2544798",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","rugosa","","","Cheeseman","kew-2544798","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris tropica","Pomaderris","","tropica",NA,NA,"","","kew-2544801",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","tropica","","","N.A.Wakef.","kew-2544801","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaria austrotexana","Pomaria","","austrotexana",NA,NA,"","","ild-39616",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","austrotexana","","","B.B.Simpson","ild-39616","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria brachycarpa","Pomaria","","brachycarpa",NA,NA,"","","ild-39617",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","brachycarpa","","","(A.Gray) B.B.Simpson","ild-39617","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria burchellii","Pomaria","","burchellii",NA,NA,"","","tro-50298311",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","burchellii","","","(DC.) B.B. Simpson & G.P. Lewis","tro-50298311","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria canescens","Pomaria","","canescens",NA,NA,"","","ild-39618",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","canescens","","","(Fisher) B.B.Simpson","ild-39618","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria fruticosa","Pomaria","","fruticosa",NA,NA,"","","ild-39621",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","fruticosa","","","(S.Watson) B.B.Simpson","ild-39621","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria glandulosa","Pomaria","","glandulosa",NA,NA,"","","ild-39661",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","glandulosa","","","Cav.","ild-39661","Accepted",FALSE,FALSE,FALSE,2017-05-11
