"Ceratozamia euryphyllidia","Ceratozamia","","euryphyllidia",NA,NA,"","","kew-2711322",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","euryphyllidia","","","Vázq.Torres, Sabato & D.W.Stev.","kew-2711322","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia fuscoviridis","Ceratozamia","","fuscoviridis",NA,NA,"","","kew-2711323",TRUE,"1.1","Synonym","Zamiaceae","Ceratozamia","","mexicana","","","Brongn.","kew-2711335","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia hildae","Ceratozamia","","hildae",NA,NA,"","","kew-2711325",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","hildae","","","G.P.Landry & M.C.Wilson","kew-2711325","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia huastecorum","Ceratozamia","","huastecorum",NA,NA,"","","kew-2711326",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","huastecorum","","","Avendaño, Vovides & Cast.-Campos","kew-2711326","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia kuesteriana","Ceratozamia","","kuesteriana",NA,NA,"","","kew-2711330",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","kuesteriana","","","Regel","kew-2711330","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia latifolia","Ceratozamia","","latifolia",NA,NA,"","","kew-2711331",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","latifolia","","","Miq.","kew-2711331","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia matudae","Ceratozamia","","matudae",NA,NA,"","","kew-2711334",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","matudae","","","Lundell","kew-2711334","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia mexicana","Ceratozamia","","mexicana",NA,NA,"","","kew-2711335",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","mexicana","","","Brongn.","kew-2711335","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia microstrobila","Ceratozamia","","microstrobila",NA,NA,"","","kew-2711343",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","microstrobila","","","Vovides & J.D.Rees","kew-2711343","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia miqueliana","Ceratozamia","","miqueliana",NA,NA,"","","kew-2711344",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","miqueliana","","","H.Wendl.","kew-2711344","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia mirandae","Ceratozamia","","mirandae",NA,NA,"","","kew-2711345",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","mirandae","","","Vovides, Pérez-Farr., Iglesias","kew-2711345","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia mixeorum","Ceratozamia","","mixeorum",NA,NA,"","","kew-2711346",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","mixeorum","","","Chemnick, D.P.Greg. & S.Salas-Morales","kew-2711346","Accepted",FALSE,FALSE,FALSE,2017-05-11
